ProteinName	log2(A,B)	AveExpr	t	P.Value	q	B
P05804_ECOLI	1.87049062764833	9.69338620151165	-90.1052611515277	9.216042079000411e-10	8.57795243246328e-08	13.6983819147039
P63284_ECOLI	1.84979393410444	10.6055268492581	-89.963249736197	9.29454136956187e-10	8.57795243246328e-08	13.6902537654156
P0ABT2_ECOLI	1.91039389010477	13.0223167029202	-88.9220470143186	9.89494949614042e-10	8.57795243246328e-08	13.6301140801064
P21179_ECOLI	1.87203060503586	10.8180786519459	-88.4296102610857	1.01948762373244e-09	8.57795243246328e-08	13.6013325418239
P77596_ECOLI	1.865558550733	9.71810327092253	-88.3539634732924	1.02418995843308e-09	8.57795243246328e-08	13.5968917154573
P0A9W3_ECOLI	1.78753049720912	8.88631886523829	-88.3449687794756	1.0247507931842502e-09	8.57795243246328e-08	13.5963633374867
P20966_ECOLI	1.89471939636585	11.8498134814415	-88.2089307118727	1.0332775669038401e-09	8.57795243246328e-08	13.5883630149669
P06720_ECOLI	1.79109403376421	11.3819628337064	-87.7838692041895	1.06046749709514e-09	8.57795243246328e-08	13.5632561637
P0A8T7_ECOLI	1.85693853822784	9.70093102722447	-87.5006098860531	1.0790582329387502e-09	8.57795243246328e-08	13.5464326060282
P0A9C5_ECOLI	1.88465363287497	7.97419631405484	-86.8255434606034	1.1249443646480702e-09	8.57795243246328e-08	13.5060374030751
P0C8J6_ECOLI	1.8798691270945	12.0446884887398	-86.7604045720434	1.12949327255364e-09	8.57795243246328e-08	13.5021169535132
P0A799_ECOLI	1.89042531114615	13.9724251496054	-86.721293140532	1.1322350592690502e-09	8.57795243246328e-08	13.4997610693882
P61889_ECOLI	1.89050722419841	11.2220993635839	-86.3372024728649	1.1595841794187801e-09	8.57795243246328e-08	13.4765483490932
P0ABJ9_ECOLI	1.87131086306048	11.0202346917168	-85.1591335345518	1.24849043159818e-09	8.57795243246328e-08	13.4044694883478
P45578_ECOLI	1.96409848637708	8.34042863361602	-84.9691203836357	1.2635761510521e-09	8.57795243246328e-08	13.3927175676342
P0ADZ7_ECOLI	1.8750253715461	10.3086486790635	-84.7404600266239	1.28201770974123e-09	8.57795243246328e-08	13.3785283720808
P0ADB7_ECOLI	1.89372587870469	9.85895860930276	-84.6397150841946	1.2902440115299501e-09	8.57795243246328e-08	13.3722604219936
P0A7J7_ECOLI	1.89517114519117	11.2781378575231	-84.6193265058503	1.2919164419868e-09	8.57795243246328e-08	13.3709907045301
P39325_ECOLI	1.81854134257375	10.8079792342289	-84.1325856715439	1.33261655715122e-09	8.57795243246328e-08	13.3405558634331
P69797_ECOLI	1.86401516273379	9.79251708876017	-83.9222224746939	1.3506760815202602e-09	8.57795243246328e-08	13.3273290752336
P0AEK4_ECOLI	1.82462198718883	10.4455070792094	-83.8780608008249	1.35450409683131e-09	8.57795243246328e-08	13.32454672233
P0AC38_ECOLI	1.80444281699759	9.75145950614476	-83.8734442423806	1.3549050108497801e-09	8.57795243246328e-08	13.3242557483238
P0AEB2_ECOLI	1.80782673388644	8.07428012854021	-83.8212129046991	1.35945073259466e-09	8.57795243246328e-08	13.3209621985781
P0AFG8_ECOLI	1.80053616845455	11.2789970288694	-83.6723582043821	1.3725051882920901e-09	8.57795243246328e-08	13.3115607746481
P12758_ECOLI	1.89703697678114	10.0169697022484	-83.630312458566	1.37621945745593e-09	8.57795243246328e-08	13.3089011767407
P31677_ECOLI	1.96169348290551	7.8319968878344	-82.754962662068	1.4563229326626202e-09	8.57795243246328e-08	13.2531219146316
P25516_ECOLI	1.79466452714066	10.062592424806	-82.616754887119	1.46946998615268e-09	8.57795243246328e-08	13.2442430553851
P0AGE0_ECOLI	1.80109720378841	8.82868557429186	-82.4580885785445	1.48473708052331e-09	8.57795243246328e-08	13.2340254696751
P0AD61_ECOLI	1.82105343855551	10.8228810628879	-82.0239412029252	1.5274825843663201e-09	8.57795243246328e-08	13.2059336730749
P0AD33_ECOLI	1.89713224176198	8.86676051347933	-81.1836670247144	1.6144340151647702e-09	8.57795243246328e-08	13.150998782847
P08997_ECOLI	1.85983823085103	11.5432542282816	-80.9222255235137	1.6426764490204201e-09	8.57795243246328e-08	13.1337527993394
Q46857_ECOLI	1.76464022150192	8.2870730978369	-80.6789077251891	1.6694887943819502e-09	8.57795243246328e-08	13.1176361432188
P0AFF6_ECOLI	1.82133574683725	8.71197462406027	-80.5973734232071	1.6785893026892602e-09	8.57795243246328e-08	13.1122212074686
P04825_ECOLI	1.91483643456944	9.37796411500127	-80.5293998907573	1.6862212030572601e-09	8.57795243246328e-08	13.1077013624567
P0AG44_ECOLI	1.91002820934367	11.6909964762195	-79.9517026990235	1.7527720349405402e-09	8.57795243246328e-08	13.0690840702559
P0A7V0_ECOLI	1.88888559126527	10.7700272683984	-79.741057007834	1.7778101545804801e-09	8.57795243246328e-08	13.0549117059651
P0ADY3_ECOLI	1.82388156033618	10.4927096029044	-79.7010851781552	1.7826091005363202e-09	8.57795243246328e-08	13.0522168314302
P69805_ECOLI	1.92782905660144	8.60391424689769	-79.2781107327138	1.8343436030618901e-09	8.57795243246328e-08	13.023591167428
P0A910_ECOLI	1.92915088655272	12.7884531632376	-79.264397447878	1.8360504669369201e-09	8.57795243246328e-08	13.0226597464148
P21889_ECOLI	1.89541817384407	8.23874165779934	-79.2372597546921	1.83943379300045e-09	8.57795243246328e-08	13.0208159034051
P0A8E7_ECOLI	1.69351102757698	9.6148647102525	-79.1004575831799	1.85660225584588e-09	8.57795243246328e-08	13.0115084219582
P0AEE5_ECOLI	1.80829867331542	9.6261593855517	-78.6603013962064	1.9131448660576103e-09	8.57795243246328e-08	12.9814185950563
P0A850_ECOLI	1.81701507338057	10.1686598305067	-78.5521124589555	1.9273539714756303e-09	8.57795243246328e-08	12.9739889465211
P21599_ECOLI	1.86869038761992	10.2329365546418	-78.4466761230888	1.94132211386912e-09	8.57795243246328e-08	12.9667354766745
P0C0V0_ECOLI	1.77551722744695	10.1355891954488	-78.3678756510799	1.9518399707326502e-09	8.57795243246328e-08	12.9613061128377
P0A858_ECOLI	1.86267658092948	10.4211353371032	-78.3366517102932	1.95602625360734e-09	8.57795243246328e-08	12.9591528107861
P60723_ECOLI	1.78963207833054	11.7410180319416	-77.8815324439555	2.01827068159744e-09	8.57795243246328e-08	12.9276389566954
P0A6A3_ECOLI	1.77732583937754	9.97153767991519	-77.852201449129	2.02236208305689e-09	8.57795243246328e-08	12.9255997767041
P61175_ECOLI	1.8519056110172	10.8673712438546	-77.8427054337378	2.02368879586996e-09	8.57795243246328e-08	12.924939370887
P0A9X4_ECOLI	1.87012461758788	9.84126578417681	-77.5106742725957	2.0707333581597903e-09	8.57795243246328e-08	12.9017820759097
P0A7W1_ECOLI	1.83688506859085	10.9191967277624	-77.5049666262384	2.07155332700946e-09	8.57795243246328e-08	12.9013828747535
P0ADU5_ECOLI	1.81359379492352	10.2400133431474	-77.2924280466721	2.10236284869819e-09	8.57795243246328e-08	12.886490419304
P0A7M2_ECOLI	1.93749138952092	11.3862228084404	-77.2299601847168	2.11152127132002e-09	8.57795243246328e-08	12.8821032371994
P0A7V8_ECOLI	1.86104792039052	11.1163758409141	-77.0619856819249	2.13638364665638e-09	8.57795243246328e-08	12.8702833858764
P13029_ECOLI	1.83398661371269	10.2485725296262	-77.060702754198	2.13657486786447e-09	8.57795243246328e-08	12.8701929818695
P0ABB4_ECOLI	1.88015131956832	10.2548550775514	-76.3253579608118	2.2495977841059904e-09	8.66602082048149e-08	12.8180529997643
P0A7X3_ECOLI	1.90674314626001	11.1824749838874	-76.3076948749004	2.2523986233395703e-09	8.66602082048149e-08	12.8167926223586
P45523_ECOLI	1.78779594185828	9.71090779625375	-76.2776574088392	2.25717117116088e-09	8.66602082048149e-08	12.814648387602
P0A6P9_ECOLI	1.80281944878939	11.7561510934957	-76.2278969829318	2.26510384299178e-09	8.66602082048149e-08	12.8110938265332
P0A6P1_ECOLI	1.79505039503328	10.7421777463691	-75.6788795860662	2.35485837724954e-09	8.67313171251437e-08	12.7716761816935
P00722_ECOLI	1.67793048098354	8.61554097435704	-75.4157464944302	2.3993678087518e-09	8.67313171251437e-08	12.7526535212282
P0A8V2_ECOLI	1.86644536932119	10.0307236131719	-75.3576997635133	2.4093203829446e-09	8.67313171251437e-08	12.748445679369
P33136_ECOLI	1.66029017456635	8.70214309746794	-75.3486963700746	2.4108684678230802e-09	8.67313171251437e-08	12.7477926454928
P0A7R1_ECOLI	1.86293629949391	11.0651357803848	-75.0405875876318	2.46456398869968e-09	8.67313171251437e-08	12.7253844187961
P0A7Z4_ECOLI	1.81562399421352	10.4798452338754	-74.9849033173626	2.47441900625246e-09	8.67313171251437e-08	12.7213220158158
P0ACA3_ECOLI	1.71081073666689	9.59067904411006	-74.8821952742404	2.4927191580202603e-09	8.67313171251437e-08	12.7138188866618
P23836_ECOLI	1.76581382885505	8.4209059183612	-74.8396662580249	2.5003437802079403e-09	8.67313171251437e-08	12.7107081573389
P0A7J3_ECOLI	1.8738784674041	12.6015718913428	-74.6837659381333	2.52853116163966e-09	8.67313171251437e-08	12.6992856622142
P0AB71_ECOLI	1.87139638845488	12.5992326616425	-74.6278402102562	2.5387344625721504e-09	8.67313171251437e-08	12.6951806657633
P0A7L8_ECOLI	1.79575648434675	9.98781886091609	-74.4334291500296	2.57458540198155e-09	8.67313171251437e-08	12.6808800825752
P08200_ECOLI	1.76617151581744	9.31594918493376	-74.366832148383	2.58700423159254e-09	8.67313171251437e-08	12.6759703335291
P0A6A8_ECOLI	1.87136981334842	13.0488563259119	-74.1452261041422	2.62884323950918e-09	8.70511682623432e-08	12.6595923212524
P60624_ECOLI	1.96720837233344	11.7059363567299	-74.0343280461782	2.6500816906432904e-09	8.70511682623432e-08	12.6513728353492
P0AE06_ECOLI	1.74289158363825	7.38191934605952	-73.7055537236944	2.7142525328310402e-09	8.82674923676654e-08	12.6269124343446
P68206_ECOLI	1.87964302872087	9.61924870293915	-73.4905292711725	2.7572186517577502e-09	8.83069436349608e-08	12.6108396595927
P36683_ECOLI	1.89421960307689	9.92180483150798	-73.3598377199758	2.78372747693861e-09	8.83069436349608e-08	12.6010414152871
P0A953_ECOLI	1.72022431114527	10.6731430657477	-73.2771730399317	2.80065081863145e-09	8.83069436349608e-08	12.594832401123
P0ABD3_ECOLI	1.88236625603717	11.4647359417589	-72.9411451780611	2.87071137616362e-09	8.83069436349608e-08	12.5695012582884
P04983_ECOLI	1.81484799192845	8.87014646507485	-72.8674679019438	2.88634940733728e-09	8.83069436349608e-08	12.5639273852984
P02358_ECOLI	1.97870117281524	10.2680407819699	-72.831232391899	2.8940774533172904e-09	8.83069436349608e-08	12.5611834569427
P60651_ECOLI	1.75015305028991	8.469947951074	-72.7776586615734	2.9055482684319804e-09	8.83069436349608e-08	12.5571234249018
P0ABH7_ECOLI	1.91454149086263	10.2606863456271	-72.163866438721	3.0408927637786604e-09	8.96380153916122e-08	12.5103362798812
P02930_ECOLI	1.73112422631672	8.18507991844515	-72.0789005287324	3.0602116170237404e-09	8.96380153916122e-08	12.5038200265864
P0AEU7_ECOLI	1.7177471528396	8.77152059175673	-72.0436311373959	3.06827360149644e-09	8.96380153916122e-08	12.5011122791148
P0A7R5_ECOLI	1.90609834073426	12.5319958613271	-71.9688158680126	3.08545862371474e-09	8.96380153916122e-08	12.4953629243927
P0AB91_ECOLI	1.80751562135811	7.98646797811951	-71.9614179146397	3.08716412172834e-09	8.96380153916122e-08	12.494794001805
P0A7V3_ECOLI	1.81411026971322	11.5637172430501	-71.7600583503059	3.1340170040340604e-09	8.99845126737498e-08	12.4792805336775
P37902_ECOLI	1.79848811457561	11.3886388441428	-71.6734062330897	3.1544386361646603e-09	8.99845126737498e-08	12.4725876518209
P0A7S3_ECOLI	1.88468515324307	10.5573986658109	-71.4715669980709	3.20262181507115e-09	9.05645751531424e-08	12.4569583093607
P19926_ECOLI	1.77300317139123	8.55234301102691	-71.1531541536894	3.280419957843e-09	9.19648767491847e-08	12.4321889360952
P60438_ECOLI	1.9248513285903	11.504859581149	-70.9041182372647	3.3428320840493703e-09	9.27267174129245e-08	12.4127191755716
P21367_ECOLI	1.88232501723917	10.7428302103848	-70.7133030075999	3.39160734216154e-09	9.27267174129245e-08	12.3977430037768
P62707_ECOLI	1.75494392654334	10.8981422687518	-70.6370877668594	3.4113246378830903e-09	9.27267174129245e-08	12.3917470733016
P60422_ECOLI	1.8549548579042	11.1157245537668	-70.5973838520009	3.4216500890378e-09	9.27267174129245e-08	12.3886203145311
P0A905_ECOLI	1.51648675374019	9.02048209578187	-70.3547406417166	3.48556360933486e-09	9.36781227897269e-08	12.3694637432389
P0A6R0_ECOLI	1.69457922779341	8.50249229285001	-69.9511252082399	3.5950425282487804e-09	9.58285106710249e-08	12.3374147702713
P0A6F3_ECOLI	1.74276026251674	8.63880285091997	-69.6608692315879	3.6762980592085704e-09	9.69479658957446e-08	12.314224020549
P00959_ECOLI	1.74151562369406	6.65758536356751	-69.589314105259	3.6966629062338e-09	9.69479658957446e-08	12.3084884226379
P0ACY3_ECOLI	1.82416591551018	8.18252124457505	-69.4303187241305	3.74239435025536e-09	9.73621314162434e-08	12.295717591544
P68679_ECOLI	1.79110996556166	10.4809803117358	-69.2872808912422	3.78411014216918e-09	9.76660808121759e-08	12.2841973524566
P06959_ECOLI	1.83624402270675	9.74510277906019	-68.8125287954568	3.92657488346617e-09	9.99626495434677e-08	12.2457479291203
P23721_ECOLI	1.79298503074475	7.77105738253207	-68.7864955959578	3.9345692317232104e-09	9.99626495434677e-08	12.243630018471
P0A937_ECOLI	1.61282093671963	7.44676902802231	-68.1064503056967	4.1504015260194605e-09	1.02758156655397e-07	12.1879509042403
P75682_ECOLI	1.89677511704885	11.2665613806412	-68.0670971125667	4.16331545554104e-09	1.02758156655397e-07	12.184707788998
P0AGD3_ECOLI	1.86244383528198	12.5424493853622	-68.0612024863194	4.16525390396952e-09	1.02758156655397e-07	12.1842218104251
P0AGJ9_ECOLI	1.96622749009343	8.13888971322977	-68.0437625803277	4.17099528859544e-09	1.02758156655397e-07	12.1827836840993
P0AA25_ECOLI	1.84020416934066	10.4074964717281	-67.9143770270305	4.21388455994303e-09	1.03034229991991e-07	12.1721000686558
P0A7U7_ECOLI	1.68413071985552	10.5302562763103	-67.807370818042	4.24975092462506e-09	1.03135746320005e-07	12.1632453428169
P0AG30_ECOLI	1.81388342301792	9.21794871129383	-67.5977711393113	4.3210590435402605e-09	1.03485584920302e-07	12.1458509489885
P0A7K2_ECOLI	1.86630095112704	12.2474885891056	-67.5471053362849	4.33850844825802e-09	1.03485584920302e-07	12.141636274037
P0ADG7_ECOLI	1.86642129195836	8.79307354010471	-67.4654167836779	4.36681842587353e-09	1.03485584920302e-07	12.1348327312317
P0A7M6_ECOLI	1.83854768427775	9.37322788697809	-67.3948380207231	4.391454710640111e-09	1.03485584920302e-07	12.1289463004778
P77804_ECOLI	1.64085537016347	7.90174851628703	-67.2424385558421	4.445215781439091e-09	1.03998861303884e-07	12.1162098900083
P07118_ECOLI	1.91924498151114	8.97595824941997	-66.9912945852939	4.53552303565229e-09	1.0535372079958e-07	12.0951434254746
P0A6L4_ECOLI	1.64573340776333	6.81831130324264	-66.865466546917	4.581585989722141e-09	1.05668919422528e-07	12.0845521560181
P0AFG6_ECOLI	1.89594819453681	9.41156758330074	-66.6688243753122	4.654688254967961e-09	1.06503650336009e-07	12.0679511406285
P09169_ECOLI	1.77800460009175	9.75807734340144	-66.5201921581099	4.71086147959801e-09	1.06503650336009e-07	12.0553632984264
P0AG63_ECOLI	1.92615997271639	11.2615624972532	-66.4886429017108	4.722888224293181e-09	1.06503650336009e-07	12.0526869132276
P04079_ECOLI	1.89310784104809	8.34008505075191	-66.4210468046414	4.74877899714678e-09	1.06503650336009e-07	12.0469473564917
P0A7D4_ECOLI	1.84404460604055	10.1067727641004	-66.0867008674751	4.8793427182622e-09	1.0868234602595e-07	12.0184525223216
P25526_ECOLI	1.80582103791825	7.92944522242317	-65.7392874516185	5.019543668277191e-09	1.10847107352152e-07	11.9886564507199
P0AG67_ECOLI	1.81439348655327	12.2766470055717	-65.6781629243562	5.044702302619491e-09	1.10847107352152e-07	11.9833941626274
P65807_ECOLI	1.80415845503311	8.10327692105765	-65.3824379752768	5.168553766889421e-09	1.12806287583385e-07	11.9578500967051
P17169_ECOLI	1.79569188373018	8.69516837325849	-65.186107853543	5.2527708678455405e-09	1.13880072414891e-07	11.940813556685
P0A6F9_ECOLI	1.86900966590615	10.7682024611677	-65.0557962131846	5.3095677196693404e-09	1.14349100823607e-07	11.9294712029706
P37194_ECOLI	1.86510649541507	11.80877847568	-64.2992767559061	5.654062095173731e-09	1.20967170615164e-07	11.8630730076469
P0DTT0_ECOLI	2.03045131593661	8.52475830460514	-64.0868807047783	5.75550183549546e-09	1.2194740315105e-07	11.844260727696
Q6Q5K6_YEAST	-1.50630217639288	6.96586416700107	64.0468174551687	5.7748770249882405e-09	1.2194740315105e-07	11.8407037844953
P0AC59_ECOLI	1.88966159667939	10.389593578211	-63.8868346763576	5.853022135074441e-09	1.22033360512679e-07	11.8264730834106
P0A6Q6_ECOLI	1.91905171230167	8.86306431870594	-63.8513312061305	5.87053374562202e-09	1.22033360512679e-07	11.823309146711
P0ADE6_ECOLI	1.92274102931252	11.7174447764449	-63.8089391826233	5.89152447739563e-09	1.22033360512679e-07	11.8195285373545
P0A8F0_ECOLI	1.95779640627158	8.73479785969542	-63.7115380434734	5.940091450902e-09	1.22090160005873e-07	11.8108305736801
P30859_ECOLI	1.82294452127	8.7431072282776	-63.6533089706004	5.9693528416155405e-09	1.22090160005873e-07	11.8056230059821
P69776_ECOLI	1.8190717961755	10.9742999061544	-63.4936899394513	6.05044552717775e-09	1.22649976969167e-07	11.7913183016878
P62399_ECOLI	1.89428588444078	11.3500089229961	-63.4513891738209	6.07215445634562e-09	1.22649976969167e-07	11.787520114621
P0A6Q3_ECOLI	1.79869975421966	9.70359614634883	-62.9159257326719	6.35510070079501e-09	1.260130579911e-07	11.7391749860849
P25553_ECOLI	1.79721425347218	10.6954847066641	-62.9125705738949	6.3569222903597306e-09	1.260130579911e-07	11.7388704979568
P69783_ECOLI	1.87431112922991	10.9355260697106	-62.8785665293587	6.37541880892705e-09	1.260130579911e-07	11.735783450918
P65292_ECOLI	1.90283827323702	8.0084694825032	-62.7790090824843	6.42994118039827e-09	1.260130579911e-07	11.7267335831041
Q46845_ECOLI	1.95104213143214	8.24032803682852	-62.774541325439	6.4324008691644105e-09	1.260130579911e-07	11.7263270545648
P0A7N4_ECOLI	1.75173501330071	8.99536893700193	-62.3135710660425	6.69228924219508e-09	1.30319309075559e-07	11.6841945267107
P0A7T7_ECOLI	1.78965970629766	10.3767701206317	-62.2130279119321	6.75061655698572e-09	1.30435095181691e-07	11.674955140119
Q46856_ECOLI	1.82945174380399	7.12341205653666	-62.15421147311	6.785016692553441e-09	1.30435095181691e-07	11.6695419032045
P0A9Q1_ECOLI	1.89597157675703	9.1946293273258	-62.0971947641459	6.81856278625077e-09	1.30435095181691e-07	11.6642884340559
P0A7L3_ECOLI	1.84888717531835	10.0501474208208	-61.463810437702	7.20476415145081e-09	1.35816518200224e-07	11.6055371629348
P0A9D8_ECOLI	1.84822192027337	9.34197821006524	-61.4598333291604	7.207269884013071e-09	1.35816518200224e-07	11.6051659681974
P63235_ECOLI	1.83752754216862	10.1101168128942	-61.4314674576439	7.22517147867119e-09	1.35816518200224e-07	11.6025176680533
P0ADY7_ECOLI	2.13041922529671	11.0151545342038	-61.2638539317682	7.332034385795951e-09	1.36864684374274e-07	11.5868389960788
P22259_ECOLI	1.90531390569712	9.2340029632171	-61.2125698825855	7.365104478935431e-09	1.36864684374274e-07	11.5820316088781
P23869_ECOLI	1.72595065602958	9.23710015996154	-61.0505776998869	7.470731507267061e-09	1.37941200000818e-07	11.5668147406744
P0A6Z3_ECOLI	1.77926805670117	9.76341329154213	-60.9942657479124	7.507869741741931e-09	1.37941200000818e-07	11.5615137361378
P0A7N9_ECOLI	1.9209737329062	10.2848652723751	-60.8377266437345	7.612264403287221e-09	1.39073504716236e-07	11.5467469744445
P76402_ECOLI	1.84082743223968	8.93853813767391	-60.5578532484794	7.80323156304829e-09	1.41765972307447e-07	11.5202325135278
P0A7S9_ECOLI	1.79732458221219	10.2488075049723	-60.4034325962463	7.911028471206481e-09	1.42925914379797e-07	11.5055405527144
P0ACW6_ECOLI	1.91990297896192	8.24093084299362	-60.2974985832885	7.98599980195155e-09	1.43483267159925e-07	11.4954358571597
P06999_ECOLI	1.82737815974308	8.25336307714141	-59.6467575673346	8.46547409838359e-09	1.51262207516173e-07	11.4328974721496
P64581_ECOLI	1.80445042139613	10.2641307684723	-59.2430183417133	8.78012483921315e-09	1.56027136487001e-07	11.3936886111564
P0A955_ECOLI	1.93789749121192	9.9474957093798	-59.0969626090227	8.89735424417865e-09	1.56203907537576e-07	11.3794265358972
P61714_ECOLI	1.93362642878384	7.68189053428964	-59.057623567369	8.929245727415681e-09	1.56203907537576e-07	11.3755780241582
P18843_ECOLI	1.74550182353664	9.30837350286965	-59.0119939694851	8.9664067830827e-09	1.56203907537576e-07	11.3711103139186
P00452_ECOLI	1.8617148455294	6.78861868250678	-58.9829393765481	8.99016459813132e-09	1.56203907537576e-07	11.3682633766083
P0A9A6_ECOLI	1.75002158750707	8.1001790701205	-58.9006639101953	9.057846902754361e-09	1.56203907537576e-07	11.3601925517374
P0ACJ8_ECOLI	1.67637209703567	9.64347927742588	-58.8759787359481	9.078271379028871e-09	1.56203907537576e-07	11.3577684581374
P0A9P0_ECOLI	1.83145610564109	9.42425637440449	-58.6647014918129	9.255333949853621e-09	1.58412347394337e-07	11.3369717387215
P0AEZ3_ECOLI	1.84375944807505	7.54762509378588	-58.5246309115607	9.374979663446481e-09	1.59620072594387e-07	11.3231353495215
P0ABK2_ECOLI	1.77159351552128	8.92069443092931	-58.4391563499708	9.44889147974942e-09	1.60040599438256e-07	11.3146728420599
P0A7G6_ECOLI	1.67977340918015	8.80643925010519	-58.0432853351714	9.80035240889618e-09	1.65133399138499e-07	11.2752881441484
P68066_ECOLI	1.92440894904661	11.1502411552326	-57.9474889448077	9.88771746940419e-09	1.65746686652074e-07	11.265709969426
P09148_ECOLI	1.8572789858381	10.150676952537	-57.7924578825765	1.00310682815831e-08	1.67287354111325e-07	11.2501697276292
P0A717_ECOLI	1.72141736974187	10.8618694597618	-57.66412264264	1.01516015686829e-08	1.68433715823248e-07	11.2372683645395
P27250_ECOLI	1.84635253306597	9.36434775346415	-57.56968975849	1.02413910303353e-08	1.69060932135282e-07	11.2277536090938
P0AB52_ECOLI	1.78219730458633	8.82965817939805	-57.4628033442196	1.03441601546183e-08	1.69774410993182e-07	11.2169619536495
P0A7T3_ECOLI	1.82596581402816	10.4363816141228	-57.4165356132343	1.03890245349456e-08	1.69774410993182e-07	11.212283284307
P00960_ECOLI	1.78289458474828	8.00332563412394	-57.3100073809653	1.04932017010541e-08	1.7061945965914e-07	11.2014941462954
P68191_ECOLI	1.82154902905916	8.87935026827593	-57.1634884498457	1.06385174593448e-08	1.71830003366929e-07	11.186616309821
P0A9L3_ECOLI	1.80908720897925	8.18459655476882	-57.1287423964714	1.06733273924107e-08	1.71830003366929e-07	11.1830815700306
P68919_ECOLI	1.99194210350297	9.67661942190198	-56.6801277870593	1.1135120944592e-08	1.78381346363612e-07	11.137216492938
P0A9M8_ECOLI	1.86071679484915	9.89740165067178	-56.4445852207017	1.13870543083619e-08	1.81436390831755e-07	11.1129650897329
P16659_ECOLI	1.8845824946921	7.90504282324116	-56.3982456232347	1.14374108611654e-08	1.81436390831755e-07	11.1081800675295
P0A6L0_ECOLI	1.82933853763254	8.8577706764028	-56.1986708205518	1.16573257117917e-08	1.84027297158964e-07	11.0875194517788
P0AG51_ECOLI	1.9078860811453	10.5433596132652	-56.0430248593793	1.18323197755403e-08	1.85887458502691e-07	11.0713470312969
P0AE18_ECOLI	1.81847428136089	8.29698580974957	-55.8429414140237	1.206187220075e-08	1.8858273267711e-07	11.0504803042625
P0ACA7_ECOLI	2.23370896193207	7.41998853661338	-55.6277807267732	1.23146394039542e-08	1.91613432256743e-07	11.0279438613436
